"Date","Price","Open","High","Low","Vol.","Change %"
"05/24/2010","1,482.42","1,491.98","1,491.98","1,482.42","926.98K","-0.64%"
"05/25/2010","1,454.85","1,482.42","1,482.42","1,454.85","1.66M","-1.86%"
"05/26/2010","1,472.29","1,456.50","1,472.29","1,454.85","1.50M","1.20%"
"05/27/2010","1,453.82","1,472.29","1,478.07","1,453.82","2.48M","-1.25%"
"05/30/2010","1,455.16","1,453.82","1,462.04","1,453.72","5.91M","0.09%"
"05/31/2010","1,450.28","1,455.16","1,455.16","1,449.70","2.35M","-0.34%"
"06/01/2010","1,443.71","1,450.28","1,450.28","1,443.71","454.92K","-0.45%"
"06/02/2010","1,415.65","1,421.44","1,422.81","1,409.23","3.88M","-1.94%"
"06/03/2010","1,416.90","1,415.65","1,417.96","1,415.65","3.05M","0.09%"
"06/06/2010","1,415.68","1,417.58","1,418.40","1,415.68","4.95M","-0.09%"
"06/07/2010","1,409.00","1,415.68","1,415.68","1,409.00","1.39M","-0.47%"
"06/08/2010","1,414.17","1,409.00","1,414.17","1,406.25","1.06M","0.37%"
"06/09/2010","1,411.61","1,414.17","1,414.18","1,406.12","2.35M","-0.18%"
"06/10/2010","1,401.12","1,412.82","1,413.01","1,397.32","937.36K","-0.74%"
"06/13/2010","1,398.74","1,401.12","1,401.12","1,393.90","1.47M","-0.17%"
"06/14/2010","1,403.87","1,398.74","1,404.84","1,398.74","1.55M","0.37%"
"06/15/2010","1,392.32","1,403.87","1,403.87","1,392.32","1.57M","-0.82%"
"06/16/2010","1,390.81","1,392.32","1,394.66","1,390.60","1.25M","-0.11%"
"06/17/2010","1,393.30","1,390.81","1,393.33","1,387.15","2.87M","0.18%"
"06/20/2010","1,392.48","1,393.30","1,393.30","1,387.53","632.68K","-0.06%"
"06/21/2010","1,396.14","1,392.48","1,396.35","1,390.62","2.11M","0.26%"
"06/22/2010","1,406.76","1,395.80","1,406.76","1,394.23","3.91M","0.76%"
"06/23/2010","1,413.19","1,407.97","1,418.27","1,407.97","1.31M","0.46%"
"06/24/2010","1,411.09","1,413.19","1,413.81","1,409.46","635.25K","-0.15%"
"06/27/2010","1,404.35","1,409.88","1,409.88","1,404.35","5.51M","-0.48%"
"06/28/2010","1,406.27","1,403.14","1,406.27","1,402.90","617.08K","0.14%"
"06/29/2010","1,401.53","1,406.27","1,406.66","1,400.95","1.08M","-0.34%"
"06/30/2010","1,396.29","1,401.53","1,401.69","1,396.01","641.77K","-0.37%"
"07/01/2010","1,379.98","1,396.29","1,396.29","1,379.49","635.64K","-1.17%"
"07/04/2010","1,361.19","1,379.98","1,380.26","1,360.51","1.44M","-1.36%"
"07/05/2010","1,361.62","1,361.19","1,361.62","1,360.73","617.04K","0.03%"
"07/06/2010","1,364.90","1,361.62","1,366.96","1,361.62","1.56M","0.24%"
"07/07/2010","1,362.49","1,364.90","1,364.90","1,362.35","1.61M","-0.18%"
"07/08/2010","1,366.29","1,362.49","1,366.29","1,362.49","1.01M","0.28%"
"07/11/2010","1,368.56","1,365.51","1,369.22","1,364.82","177.10K","0.17%"
"07/12/2010","1,389.28","1,376.80","1,389.28","1,376.80","1.02M","1.51%"
"07/13/2010","1,388.84","1,389.28","1,389.99","1,388.23","223.67K","-0.03%"
"07/14/2010","1,389.58","1,388.84","1,389.58","1,388.59","192.79K","0.05%"
"07/15/2010","1,392.13","1,391.23","1,392.23","1,389.58","403.27K","0.18%"
"07/18/2010","1,398.87","1,392.13","1,398.87","1,391.09","332.40K","0.48%"
"07/19/2010","1,401.21","1,398.82","1,401.64","1,398.82","1.10M","0.17%"
"07/20/2010","1,404.47","1,400.21","1,404.61","1,400.21","737.76K","0.23%"
"07/21/2010","1,403.12","1,404.47","1,410.32","1,401.47","1.36M","-0.10%"
